question,best_answer, answer, 
Quel est l'objet du contrat patrimoine vie plus ?,Protéger et valoriser l’épargne du souscripteur via un contrat d’assurance vie multisupport.,
Qui est l'assureur du contrat sécurité avenir ?,Assureur : SécurFinance Assurances, 
Quelles sont les prestations du contrat sécurité avenir ?,En cas de Vie à l’échéance** : Versement du capital constitué ou possibilité de rente viagère.
2. **En cas de Décès** : Transmission du capital acquis au(x) bénéficiaire(s) désigné(s).,
Quelles sont les limitations du contrat sécurité avenir ?,Décès suite à un acte intentionnel du bénéficiaire ne sera pas couvert. En cas de fausse déclaration (âge état de santé etc.) l assureur peut réduire ou refuser la prestation.,
Quels sont les objectifs du contrat Contrat Capital Futur Senior ?,Garantir un capital décès à hauteur de l’épargne acquise. Générer des revenus complémentaires sous forme de rachats partiels ou de rente. Offrir un cadre fiscal avantageux en cas de transmission, 
Parle moi des garanties du contrat Contrat Patrimoine Vie Plus ?, Capital versé = valeur atteinte des supports à la date du décès. Versement d’un capital ou d’une rente si le souscripteur est en vie à une date donnée (par exemple au 10e anniversaire du contrat).,
Quelles sont les modalités de versement du contrat Epargne & Protection ?, **Prime Initiale** : 1 500 € minimum.  - **Versements Libres** : 100 € minimum par versement supplémentaire.  - **Versements Programmés** : Possibles tous les trimestres à partir de 50 €.,
Quelles sont les informations légales du contrat Epargne & Protection ?, - Contrat régi par le Code des assurances français. - Les réclamations peuvent être adressées au service client de Protectis Assurances. - En cas de désaccord compétence des tribunaux du siège de l’assureur sauf disposition légale particulière.,
Donne moi les informations complémentaires sur le contrat Patrimoine Vie Plus, - Code des assurances en vigueur. - Risque de perte en capital sur les unités de compte. - Toutes les informations relatives aux rendements passés sont fournies à titre indicatif et ne constituent pas une garantie de performance future.,
Quelles sont les informations annuelles du contrat capital futur senior ?, - L’assureur communique chaque année :  - Les performances du ou des fonds.  - Le montant des frais de gestion prélevés.  - La valeur de rachat possible.,
Quelles sont les informations concernant les litiges et réclamations du contrat capital futur senior ?, - Les réclamations sont à adresser au Service Qualité de SeniorVie Assurances. - Litiges éventuels soumis aux tribunaux compétents du lieu de résidence du souscripteur ou du siège de l’assureur (au choix du souscripteur)., 
